Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,00000164,0,R,0,8,80,01,06,00,00,00,00,00
331000,00000403,0,R,0,6,07,01,00,00,00,00,,
518000,00000401,0,R,0,6,02,01,00,00,00,00,,
751000,00000703,0,R,0,8,76,50,0C,18,04,00,00,00
929000,00000360,0,R,0,8,00,00,8A,00,00,00,00,00
1113000,0000040A,0,R,0,6,0B,01,00,00,00,00,,
1356000,00000400,0,R,0,6,01,01,00,00,00,00,,
1544000,00000407,0,R,0,6,0A,01,00,00,00,00,,
1737000,00000165,0,R,0,1,47,,,,,,,
1992000,00000522,0,R,0,8,00,00,00,00,00,00,00,00
2192000,00000265,0,R,0,8,00,08,01,00,00,00,00,02
2598000,00000224,0,R,0,8,00,00,00,6E,00,00,1B,00
2894000,0000070C,0,R,0,8,10,52,19,06,07,00,00,00
3047000,00000325,0,R,0,8,00,00,00,00,78,28,00,04
3239000,00000164,0,R,0,8,80,01,06,00,00,00,00,00
3490000,00000222,0,R,0,8,CF,00,3A,8A,00,00,00,00
3688000,00000360,0,R,0,8,00,00,8A,00,00,00,00,00
3932000,00000224,0,R,0,8,00,00,00,6E,00,00,1B,00
4152000,0000040C,0,R,0,6,11,01,00,00,00,00,,
4413000,00000164,0,R,0,8,80,01,06,00,00,00,00,00
4629000,00000324,0,R,0,4,00,40,F0,B0,,,,
5052000,0000040A,0,R,0,6,0B,01,00,00,00,00,,
5269000,00000325,0,R,0,8,00,00,00,00,78,28,00,04
5539000,00000263,0,R,0,4,00,80,80,00,,,,
5760000,00000165,0,R,0,1,47,,,,,,,
5978000,00000162,0,R,0,2,00,00,,,,,,
6205000,00000224,0,R,0,8,00,00,00,6E,00,00,1B,00
6513000,0000062F,0,R,0,8,7D,CF,1C,02,4D,00,10,1F
6746000,00000703,0,R,0,8,76,50,0C,18,04,00,00,00
6987000,00000360,0,R,0,8,00,00,8A,00,00,00,00,00
7293000,00000224,0,R,0,8,00,00,00,6E,00,00,1B,00
7783000,00000324,0,R,0,4,00,40,B0,F0,,,,
8071999,00000224,0,R,0,8,00,00,00,6E,00,00,1B,00
8266999,0000040C,0,R,0,6,11,01,00,00,00,00,,
8504000,00000224,0,R,0,8,00,00,00,6E,00,00,1B,00
8696000,00000703,0,R,0,8,76,50,0C,18,04,00,00,00
8889999,00000403,0,R,0,6,07,01,00,00,00,00,,
9088999,0000062F,0,R,0,8,7D,CF,1C,02,4D,00,10,1F
9351000,00000265,0,R,0,8,00,08,01,00,00,00,00,02
9556999,00000164,0,R,0,8,80,01,06,00,00,00,00,00
9783000,00000461,0,R,0,8,00,00,00,17,1B,80,00,00
10296000,00000224,0,R,0,8,00,00,00,6E,00,00,1B,00
10578000,00000265,0,R,0,8,00,08,01,00,00,00,00,02
10819999,0000070A,0,R,0,8,29,51,1E,1A,03,00,00,08
11065999,00000224,0,R,0,8,00,00,00,6E,00,00,1B,00
11353000,00000222,0,R,0,8,CF,00,3A,8A,00,00,00,00
11588999,0000062F,0,R,0,8,7D,CF,1C,02,4D,00,10,1F
11831000,00000224,0,R,0,8,00,00,00,6E,00,00,1B,00
12069999,00000324,0,R,0,4,00,40,10,50,,,,
12367999,00000325,0,R,0,8,00,00,00,00,78,28,00,04
12614999,00000525,0,R,0,8,24,F8,00,00,00,00,00,00
13207999,0000040B,0,R,0,6,0C,01,00,00,00,00,,
13476000,00000224,0,R,0,8,00,00,00,6E,00,00,1B,00
13722999,0000040C,0,R,0,6,11,01,00,00,00,00,,
13911999,00000165,0,R,0,1,47,,,,,,,
14111999,0000040C,0,R,0,6,11,01,00,00,00,00,,
14319999,00000402,0,R,0,6,03,01,00,00,00,00,,
14594999,0000062F,0,R,0,8,7D,CF,1C,02,4D,00,10,1F
14809999,0000062F,0,R,0,8,7D,CF,1C,02,4D,00,10,1F
15036000,00000265,0,R,0,8,00,08,01,00,00,00,00,02
15309000,00000222,0,R,0,8,CF,00,3A,8A,00,00,00,00
15907999,00000522,0,R,0,8,00,00,00,00,00,00,00,00
16128000,00000407,0,R,0,6,0A,01,00,00,00,00,,
16351000,00000400,0,R,0,6,01,01,00,00,00,00,,
16640999,00000164,0,R,0,8,80,00,06,00,00,00,00,00
16875000,00000402,0,R,0,6,03,01,00,00,00,00,,
17114000,0000040C,0,R,0,6,11,01,00,00,00,00,,
17352999,00000403,0,R,0,6,07,01,00,00,00,00,,
17648000,00000411,0,R,0,6,00,01,00,00,00,00,,
17906000,00000222,0,R,0,8,CF,00,3A,8A,00,00,00,00
18176000,00000402,0,R,0,6,03,01,00,00,00,00,,
18839000,00000325,0,R,0,8,00,00,00,00,78,28,00,0F
19198000,00000407,0,R,0,6,0A,01,00,00,00,00,,
19387000,00000164,0,R,0,8,80,00,06,00,00,00,00,00
19590999,0000062F,0,R,0,8,7D,CF,1C,02,4D,00,10,1F
19845000,0000070C,0,R,0,8,10,52,19,46,07,00,00,00
20052000,00000263,0,R,0,4,10,80,90,00,,,,
20255000,00000325,0,R,0,8,00,00,00,00,78,28,00,0F
20465000,00000325,0,R,0,8,00,00,00,00,78,28,00,0F
20740000,00000703,0,R,0,8,76,50,0C,18,04,00,00,00
20980000,00000401,0,R,0,6,02,01,00,00,00,00,,
21673000,00000263,0,R,0,4,D0,80,50,00,,,,
21907999,00000403,0,R,0,6,07,11,00,00,00,00,,
22200000,00000263,0,R,0,4,60,80,E0,00,,,,
22471000,00000263,0,R,0,4,90,80,10,00,,,,
22708000,00000703,0,R,0,8,76,50,0C,18,04,00,00,00
22957000,0000062F,0,R,0,8,7D,CF,1C,02,4D,00,10,1F
23256999,00000360,0,R,0,8,00,00,8A,00,00,00,00,00
23497000,00000164,0,R,0,8,80,00,00,00,00,00,00,00
23736000,00000263,0,R,0,4,60,80,E0,00,,,,
24035999,00000165,0,R,0,1,00,,,,,,,
24767000,00000224,0,R,0,8,00,00,00,6E,00,00,1B,1F
25016000,00000164,0,R,0,8,80,00,00,00,00,00,00,00
25291999,00000263,0,R,0,4,50,80,D0,00,,,,
25566000,00000401,0,R,0,6,02,01,00,00,00,00,,
25769000,00000224,0,R,0,8,00,00,00,6E,00,00,1B,1F
25976000,00000521,0,R,0,8,2E,16,1E,00,01,05,8D,00
26189999,00000224,0,R,0,8,00,00,00,6E,00,00,1B,1F
26458000,00000263,0,R,0,4,10,80,90,00,,,,
26682000,00000325,0,R,0,8,00,00,00,00,78,28,00,0F
26898000,00000224,0,R,0,8,00,00,00,6E,00,00,1B,1F
27645000,0000062F,0,R,0,8,7D,CF,1C,02,4D,00,10,1F
27932000,00000164,0,R,0,8,80,00,00,00,00,00,00,00
28151999,00000165,0,R,0,1,00,,,,,,,
28393000,00000164,0,R,0,8,80,00,00,00,00,00,00,00
28683000,00000263,0,R,0,4,70,80,F0,00,,,,
28916999,00000260,0,R,0,8,00,01,00,00,92,00,00,00
29159000,0000040A,0,R,0,6,0B,11,00,00,00,00,,
29416999,00000325,0,R,0,8,00,00,00,00,78,28,00,0F
29733000,00000702,0,R,0,8,76,50,0C,18,04,00,00,00
29980000,00000165,0,R,0,1,00,,,,,,,
30787000,00000401,0,R,0,6,02,01,00,00,00,00,,
31058999,00000224,0,R,0,8,00,00,00,6E,00,00,1B,1F
31395000,00000222,0,R,0,8,CF,00,3A,8A,00,00,00,00
31601000,00000702,0,R,0,8,76,50,0C,18,04,00,00,00
31808999,0000070C,0,R,0,8,10,52,19,46,07,00,00,00
32059000,0000040A,0,R,0,6,0B,11,00,00,00,00,,
32300000,00000325,0,R,0,8,00,00,00,00,78,28,00,0F
32498000,0000040C,0,R,0,6,11,11,00,00,00,00,,
32692000,00000263,0,R,0,4,00,80,80,00,,,,
32969000,00000264,0,R,0,8,06,08,01,00,00,00,00,00
33771000,0000062F,0,R,0,8,7D,CF,1C,02,4D,00,10,1F
33995000,00000521,0,R,0,8,1F,3F,3F,7F,0F,1F,FF,00
34205000,00000263,0,R,0,4,F0,80,70,00,,,,
34483000,00000263,0,R,0,4,10,80,90,00,,,,
34703000,00000224,0,R,0,8,00,00,00,6E,00,00,1B,1F
