Timestamp;ID;IDhex;Data
7.540;1041;411;11 02 10 02 00 00
7.892;548;224;00 00 7F 00 00 7F 00 1F
8.164;804;324;00 51 00 51
8.447;804;324;00 41 F0 B1
8.799;548;224;00 00 00 51 00 7F 15 10
9.102;1317;525;FF FF 0F 00 00 00 00 01
9.396;1024;400;01 01 00 00 00 00
9.688;1035;40B;0C 01 00 00 00 00
10.031;1027;403;07 01 00 00 00 00
10.362;805;325;00 00 CC 80 78 22 00 04
10.679;548;224;00 00 00 51 00 00 15 00
11.054;548;224;00 00 00 51 00 00 15 00
11.368;611;263;50 80 D0 00
11.687;548;224;00 00 00 51 00 00 15 00
12.084;1583;62F;7D CF 1C 02 4D 00 10 1F
12.384;804;324;00 41 30 71
12.695;1041;411;00 01 00 00 00 00
13.043;804;324;00 41 10 51
13.352;548;224;00 00 00 51 00 00 15 00
13.664;548;224;00 00 00 51 00 00 15 00
13.982;1024;400;01 01 00 00 00 00
14.357;548;224;00 00 00 51 00 00 15 00
14.680;548;224;00 00 00 51 00 00 15 00
15.020;1583;62F;7D CF 1C 02 4D 00 10 1F
15.416;357;165;47
15.791;548;224;00 00 00 51 00 00 15 00
16.125;612;264;01 08 0D 00 00 00 00 06
16.479;864;360;00 0C 87 00 00 00 00 00
16.876;1583;62F;7D CF 1C 02 4D 00 10 1F
17.216;1036;40C;11 01 00 00 00 00
17.556;357;165;47
17.912;548;224;00 00 00 51 00 00 15 00
18.327;613;265;00 08 00 00 00 00 00 06
18.707;356;164;80 01 06 00 00 00 00 00
19.100;1026;402;03 01 00 00 00 00
19.404;548;224;00 00 00 51 00 00 15 00
19.769;357;165;47
20.074;1036;40C;11 01 00 00 00 00
20.389;1034;40A;0B 01 00 00 00 00
20.761;1027;403;07 01 00 00 00 00
21.070;804;324;00 40 10 50
21.379;1024;400;01 01 00 00 00 00
21.712;1795;703;76 50 0C 98 04 00 00 00
22.087;1034;40A;0B 01 00 00 00 00
22.410;613;265;00 08 00 00 00 00 00 06
22.738;357;165;47
23.072;1317;525;1A F6 00 00 00 00 00 00
23.475;1583;62F;7D CF 1C 02 4D 00 10 1F
23.815;1804;70C;10 52 19 16 07 00 00 00
24.151;357;165;47
24.520;548;224;00 00 00 52 00 00 15 00
24.936;546;222;64 0C 60 87 00 00 00 00
25.286;356;164;80 01 06 00 00 00 00 00
25.658;1025;401;02 01 00 00 00 00
26.076;611;263;70 80 F0 00
26.453;608;260;00 03 00 00 92 00 00 00
26.748;548;224;00 00 00 52 00 00 15 00
27.083;1035;40B;0C 01 00 00 00 00
27.450;1031;407;0A 01 00 00 00 00
27.764;1802;70A;29 51 1E 0A 03 00 00 08
28.080;613;265;00 08 00 00 00 00 00 06
28.415;804;324;00 40 30 70
28.803;1799;707;15 50 14 14 04 00 00 00
29.135;357;165;47
29.478;805;325;00 00 CC 80 78 22 00 04
29.813;1026;402;03 01 00 00 00 00
30.195;357;165;47
30.531;1024;400;01 01 00 00 00 00
30.894;1314;522;00 00 00 00 00 00 00 00
